cluster,linea,sublinea,clase,subclase
1,ENTRETENIMIENTO,ACCESORIOS VIDEOJUEGOS,X BOX,ACCE X BOX
1,ENTRETENIMIENTO,CONSOLAS,XBOX,XBOX
1,ENTRETENIMIENTO,VIDEO JUEGOS EKT,XBOX EKT,XBOX EKT
1,TRANSPORTE/NVOS NEGOCIOS,FERRETERIA,HERRAMIENTA ELECTRICA,SIERRAS CALADORAS
2,ACCESORIOS,AUDIO,AUDIFONOS,INTRAUDITIVOS
2,LINEA BLANCA,ELECTRODOMESTICOS,BEBIDAS,CAFETERA
2,LINEA BLANCA,ELECTRODOMESTICOS,LICUADORAS,LICUADORAS MENORES 5 VEL.
2,LINEA BLANCA,REFRIGERACION,CONGELADORES,HORIZONTAL
3,ACCESORIOS,ELECTRONICA,VIDEO/TVS,PILAS
3,TRANSPORTE/NVOS NEGOCIOS,JUGUETES,JUGUETES,NINA
3,TRANSPORTE/NVOS NEGOCIOS,JUGUETES,JUGUETES,NINO
4,COLCHONES Y BOXES,COLCHONES Y BOXES,SET DE CAMA,QUEEN
4,MUEBLES,ESTANCIA,JUEGOS DE MESA,DE JUEGO
4,TRANSPORTE/NVOS NEGOCIOS,INFLABLES,ALBERCAS,INFLABLES
5,COLCHONES Y BOXES,COLCHONES Y BOXES,SET DE CAMA,INDIVIDUALES
5,LINEA BLANCA,ELECTRODOMESTICOS,ELECTRICOS,TOSTADOR
5,LINEA BLANCA,LAVANDERIA,AUTOMATICA CARGA SUPERIOR,MAYOR DE 10 KG
5,MUEBLES,COCINA,ALACENAS,ALACENAS
5,MUEBLES,DORMITORIO,CAMAS,INDIVIDUALES
6,LINEA BLANCA,ELECTRODOMESTICOS,BEBIDAS,EXPRIMIDOR
6,LINEA BLANCA,ELECTRODOMESTICOS,HIDROLAV. Y ASPIRADORAS,ASPIRADORAS
6,MOTOCICLETAS Y ACCESORIOS,MOTOCICLETAS,TRABAJO,170 CC
6,MUEBLES,ESTANCIA,COMODAS,COMODAS
6,MUEBLES,HOGAR,BLANCOS,ALMOHADAS
6,TELEFONIA,TELEFONOS,AT&T,ZTE
6,TELEFONIA,TELEFONOS,TELEFONICA,BLU
6,TELEFONIA,TELEFONOS,TELEFONICA,HUAWEI
6,TELEFONIA,TELEFONOS,TELEFONICA,MOTOROLA
6,TELEFONIA,TELEFONOS,TELEFONICA,SAMSUNG
6,TRANSPORTE/NVOS NEGOCIOS,BICICLETAS,INFANTILES,R12
7,LINEA BLANCA,ESTUFAS,CAMPANAS,30 PULGADAS
7,TELEFONIA,TELEFONOS,TELCEL,HUAWEI
7,TELEFONIA,TELEFONOS,TELCEL,MOTOROLA
7,TELEFONIA,TELEFONOS,TELCEL,SAMSUNG
7,TELEFONIA,TELEFONOS,TELCEL,SENWA
8,ENTRETENIMIENTO,ACCESORIOS VIDEOJUEGOS,PLAY STATION,ACCE PLAY STATION
8,MOTOCICLETAS Y ACCESORIOS,MOTOCICLETAS,ATV,150 CC
9,TELEFONIA,TELEFONOS,AT&T,HUAWEI
9,TELEFONIA,TELEFONOS,AT&T,MOTOROLA
9,TELEFONIA,TELEFONOS,AT&T,SAMSUNG
9,TELEFONIA,TELEFONOS,TELCEL,SONY
10,MUEBLES,ANTECOMEDORES,ANTECOMEDORES,ANTECOMEDORES
10,MUEBLES,SALAS Y TAPIZADOS,SALAS,SALA MODULAR
11,ACCESORIOS,ELECTRONICA,VIDEO/TVS,REGULADORES
11,COLCHONES Y BOXES,COLCHONES Y BOXES,COLCHONES,MATRIMONIALES
11,ENTRETENIMIENTO,ACCESORIOS VIDEOJUEGOS,OTROS,ACCE OTROS
11,TRANSPORTE/NVOS NEGOCIOS,INFLABLES,ENTRETENIMIENTO,BRINCOLINES
11,TRANSPORTE/NVOS NEGOCIOS,PRODUCTOS DE TV,PRODUCTOS DE TV,PRODUCTOS DE TV
12,COLCHONES Y BOXES,COLCHONES Y BOXES,COLCHONES,INDIVIDUALES
12,MUEBLES,COMEDORES,COMEDORES,COMEDORES
12,MUEBLES,DORMITORIO,LITERAS,LITERAS
12,MUEBLES,HOGAR,COCINA,BATERIAS DE COCINA
12,MUEBLES,HOGAR,COCINA,SARTENES
12,TELEFONIA,TELEFONOS,TELCEL,POLAROID
12,TELEFONIA,TELEFONOS,TELEFONICA,NOKIA
13,MOTOCICLETAS Y ACCESORIOS,MOTOCICLETAS,DOBLE PROPOSITO,150 CC
13,TRANSPORTE/NVOS NEGOCIOS,FERRETERIA,HERRAMIENTA ELECTRICA,ESMERILADORAS
13,TRANSPORTE/NVOS NEGOCIOS,FERRETERIA,HERRAMIENTA ELECTRICA,TALADROS
14,LINEA BLANCA,AIRES ACOND./VENTILADORES,MINI-SPLITS,1.5 TONELADAS
14,LINEA BLANCA,ELECTRODOMESTICOS,DESPACHADORES DE AGUA,DE MESA
14,MUEBLES,COCINA,COCINAS,COCINAS
15,ELECTRONICA,HOME AUDIO,BOCINAS,PORTATILES
15,ELECTRONICA,TELEVISIONES,LED,11 - 29 PULGADAS
15,LINEA BLANCA,ELECTRODOMESTICOS,BEBIDAS,EXTRACTOR
15,LINEA BLANCA,ESTUFAS,PARRILLA DE MESA DE GAS,2 QUEMADORES
15,LINEA BLANCA,LAVANDERIA,LAVADORAS COMPACTAS,LAVADORAS COMPACTAS
15,LINEA BLANCA,LAVANDERIA,LAVADORAS REDONDAS,11 KILOS Y MAYOR
16,ACCESORIOS,AUDIO,AUDIFONOS,HEADPHONES
16,ACCESORIOS,COMPUTO,ARTICULOS DE LIMPIEZA,TELEFONOS
16,ACCESORIOS,TELEFONOS,CARGADORES,CARGADORES
16,MUEBLES,MUEBLES DE JARDIN,MUEBLES DE JARDIN,SILLAS PLEGABLES
16,TELEFONIA,TELEFONOS,AT&T,HISENSE
16,TRANSPORTE/NVOS NEGOCIOS,MONTABLES,FIJOS,FIJOS
17,ELECTRONICA,TELEFONOS,TELEFONOS RESIDENCIAL,TELEFONOS INALAMBRICOS
17,LINEA BLANCA,AIRES ACOND./VENTILADORES,DE VENTANA,MENOR A 1 TONELADA
17,MOTOCICLETAS Y ACCESORIOS,REFACCIONES,LLANTAS,LLANTAS
17,TRANSPORTE/NVOS NEGOCIOS,BICICLETAS,INFANTILES,R16
18,COLCHONES Y BOXES,COLCHONES Y BOXES,BOXES,INDIVIDUALES
18,COLCHONES Y BOXES,COLCHONES Y BOXES,COLCHONES,KING SIZE
18,ELECTRONICA,CAR AUDIO,AUTOESTEREOS Y ACCESORIOS,INDIVIDUAL
18,LINEA BLANCA,REFRIGERACION,MANUALES/SEMI AUT.1 PUERT,7 PIES CUBICOS
18,TELEFONIA,TELEFONOS,TELCEL,M4TEL
18,TELEFONIA,TELEFONOS,TELEFONICA,LENOVO
19,LINEA BLANCA,HORNOS DE MICROONDAS,DE MESA,1.2 A 1.6
19,TRANSPORTE/NVOS NEGOCIOS,INSUMOS AUTOMOTRICES,ACUMULADORES,AUTO
19,TRANSPORTE/NVOS NEGOCIOS,INSUMOS AUTOMOTRICES,LLANTAS,AUTO
20,ACCESORIOS,TELEFONOS,CABLES,CABLES
20,ELECTRONICA,HOME AUDIO,AUDIO PERSONAL,RADIOGRABADORAS
20,ELECTRONICA,HOME AUDIO,BOCINAS,PROFESIONALES
20,MUEBLES,SALAS Y TAPIZADOS,SALAS,SALAS 3 2 1
21,LINEA BLANCA,ELECTRICOS DE BELLEZA,ELECTRICOS DE BELLEZA,ALACIADORAS
21,LINEA BLANCA,REFRIGERACION,AUT.C/CONGELADOR SUPERIOR,MAYORES A 18 PIES CUBICOS
21,MOTOCICLETAS Y ACCESORIOS,MOTOCICLETAS,MOTONETA,125 CC
21,MOTOCICLETAS Y ACCESORIOS,REFACCIONES,BATERIAS,BATERIAS
21,TELEFONIA,TELEFONOS,AT&T,ALCATEL
22,LINEA BLANCA,ELECTRODOMESTICOS,LICUADORAS,LICUADORAS MAYORES 6 VEL.
22,LINEA BLANCA,LAVANDERIA,LAVADORAS 2 TINAS,MAYORES A 8 KILOS
22,LINEA BLANCA,REFRIGERACION,AUT.C/CONGELADOR SUPERIOR,DE 11 A 15 PIES CUBICOS
23,ELECTRONICA,TELEVISIONES,LED,36- 43 PULGADAS
23,ELECTRONICA,TELEVISIONES,LED,50 - 60 PULGADAS
23,MUEBLES,DORMITORIO,CAMAS,MATRIMONIALES
23,TELEFONIA,TELEFONOS,TELCEL,APPLE
23,TELEFONIA,TELEFONOS,TELCEL,ZTE
24,ACCESORIOS,COMPUTO,UNIDADES DE MEMORIA,TARJETAS DE MEMORIA
24,LINEA BLANCA,ESTUFAS,PARRILLA DE MESA DE GAS,4 QUEMADORES
24,LINEA BLANCA,ESTUFAS,PARRILLA MESA ELECTRICA,1 QUEMADOR
24,LINEA BLANCA,REFRIGERACION,AUT.C/CONGELADOR SUPERIOR,DE 16 A 18 PIES CUBICOS
24,TRANSPORTE/NVOS NEGOCIOS,PERFUMES,CABALLERO,CABALLERO
